1,"388 271 223 303 139 241 287 341 315 329 395 407 149 138 181 347 289 304 157 483 153"
2,"94 383 176 492 217 260 42 166 126 129 410 331 144 69 320 43 370 269 143 65 358"
3,"393 91 476 156 364 81 35 62 298 25 159 397 20 16 48 356 49 251 59 63 85"
4,"252 450 83 241 497 239 388 365 400 37 347 223 202 472 363 179 85 446 468 426 201"
5,"454 186 308 167 154 19 266 90 461 164 130 120 53 247 198 338 491 127 57 79 160"
6,"259 134 414 455 82 292 472 283 111 427 73 8 57 236 426 297 156 355 143 280 163"
7,"95 453 239 367 327 213 417 37 426 66 42 195 236 311 61 107 497 93 481 489 380"
8,"472 438 187 106 197 320 63 236 376 150 172 333 402 381 208 259 146 176 292 42 143"
9,"432 180 246 406 84 399 463 185 23 477 220 141 333 32 118 431 59 192 98 421 374"
10,"424 28 113 200 89 313 114 368 487 296 371 27 192 332 311 272 276 170 251 179 208"
11,"263 44 110 257 494 355 452 190 30 49 292 188 375 289 465 55 273 162 215 93 434"
12,"433 30 264 467 188 422 55 109 105 490 452 465 361 110 334 464 282 279 470 228 116"
13,"210 225 163 362 343 455 82 178 283 259 268 165 6 15 232 222 209 410 275 324 101"
14,"438 334 216 215 133 150 470 105 381 183 393 422 30 412 370 85 3 265 228 254 356"
15,"278 131 436 174 324 88 178 259 168 100 475 387 156 123 354 59 423 21 401 418 81"
16,"81 159 356 25 156 168 35 48 387 251 59 138 216 476 380 419 371 314 155 426 358"
17,"78 136 425 138 481 340 234 358 426 373 155 402 265 295 412 257 221 161 184 43 162"
18,"35 168 416 25 265 356 87 65 96 489 340 85 155 400 62 251 448 29 426 16 371"
19,"154 454 5 186 308 164 266 90 167 130 247 461 53 299 316 491 120 338 79 64 198"
20,"48 91 190 302 140 314 364 382 3 170 112 265 360 251 353 155 385 400 136 156 152"
21,"100 103 112 354 239 41 159 380 259 373 436 123 73 360 495 222 15 306 468 352 155"
22,"447 73 276 136 346 468 100 155 192 415 239 233 124 112 202 207 159 258 212 409 493"
23,"192 463 457 98 84 59 371 112 385 399 333 136 481 101 417 197 256 276 195 380 100"
24,"51 237 404 214 350 248 319 420 250 121 434 478 108 235 146 473 462 336 52 439 411"
25,"16 81 62 125 35 371 251 168 29 3 356 419 18 156 397 59 445 437 159 476 387"
26,"270 151 126 69 112 97 381 100 29 212 492 76 349 373 468 358 98 102 260 269 183"
27,"157 493 307 208 281 400 303 449 424 272 107 114 311 93 265 135 192 296 89 145 421"
28,"300 424 10 445 437 301 60 113 93 378 443 61 313 486 245 371 375 441 232 95 275"
29,"358 65 375 151 419 100 62 371 166 387 156 25 426 410 16 168 290 368 416 380 112"
30,"12 433 188 422 264 109 452 279 105 334 215 470 465 55 438 490 110 263 467 464 292"
31,"351 450 227 146 376 439 404 4 281 107 339 244 411 472 157 252 310 336 187 135 400"
32,"374 286 168 359 338 174 169 278 65 160 59 53 368 491 333 104 23 270 387 63 127"
33,"233 380 355 377 410 120 73 169 159 133 481 276 115 426 472 168 195 99 358 273 114"
34,"449 133 281 292 415 280 324 156 346 231 382 493 267 376 296 472 45 314 360 209 455"
35,"356 85 400 81 155 265 159 16 363 393 364 156 445 437 25 208 251 93 3 449 476"
36,"387 156 280 92 236 131 88 354 204 106 393 375 402 427 488 146 184 138 81 363 471"
37,"193 367 95 311 417 390 426 73 179 388 202 239 241 70 276 107 4 136 408 223 192"
38,"383 129 94 492 260 349 2 166 69 26 270 217 331 144 126 243 269 151 277 435 97"
39,"146 423 275 176 462 350 131 466 402 87 43 323 234 235 125 169 36 63 267 59 174"
40,"205 254 29 226 18 25 128 81 151 138 374 168 436 492 446 85 16 381 349 344 321"
41,"283 390 103 230 360 306 21 222 493 408 78 57 100 326 259 101 481 123 352 233 333"
42,"320 93 208 159 356 380 472 417 397 115 370 457 195 311 236 265 419 143 327 209 471"
43,"236 172 131 427 457 402 65 275 426 410 481 93 358 80 423 371 372 111 375 387 146"
44,"11 170 190 273 451 238 434 302 353 175 20 93 427 257 80 375 56 156 393 263 348"
45,"400 360 314 262 474 288 415 481 307 276 402 135 169 333 493 155 363 159 197 48 356"
46,"118 180 477 498 256 105 421 399 406 23 431 141 246 282 177 191 289 403 84 192 109"
47,"271 303 315 498 395 403 219 223 153 460 27 347 184 431 289 449 493 287 182 119 89"
48,"360 20 314 409 159 191 353 16 251 326 242 356 380 382 397 81 45 91 156 416 155"
49,"172 63 320 3 209 156 263 59 137 176 42 375 29 419 62 397 380 393 434 93 159"
50,"206 56 175 302 451 102 457 80 171 44 348 150 434 320 197 183 352 257 322 172 173"
51,"24 420 404 319 250 478 237 214 248 108 350 121 52 473 336 235 462 140 434 439 396"
52,"478 237 473 108 214 121 231 336 235 376 350 248 209 404 250 462 140 319 483 24 62"
53,"338 198 491 57 120 461 255 130 167 5 127 123 174 186 160 286 32 90 88 342 266"
54,"440 132 202 249 495 366 91 392 229 73 201 66 414 497 4 480 97 472 305 252 352"
55,"433 465 12 30 110 263 334 467 458 494 116 264 464 188 490 109 105 11 422 355 470"
56,"50 175 206 102 171 257 451 322 44 183 302 352 348 393 20 11 112 273 364 470 14"
57,"338 283 259 53 174 120 123 390 41 408 221 198 296 167 90 6 286 268 457 423 491"
58,"321 68 205 226 128 318 479 254 401 285 344 418 436 122 447 15 258 364 298 142 81"
59,"159 476 112 432 16 168 81 387 371 156 397 100 360 23 380 333 475 374 169 354 216"
60,"486 238 300 88 28 298 74 488 445 437 170 424 379 218 113 393 200 314 364 67 173"
61,"195 380 410 327 159 354 213 275 387 28 320 375 417 100 356 65 371 42 81 95 173"
62,"419 267 476 168 25 397 169 29 3 156 81 393 209 356 35 16 423 176 371 269 262"
63,"172 106 176 333 49 208 8 476 36 267 272 137 156 393 3 174 62 146 59 280 462"
64,"430 316 429 308 104 266 167 127 135 448 200 130 339 281 160 72 164 5 459 99 296"
65,"371 269 387 29 358 489 168 166 410 349 131 160 92 43 426 125 423 375 275 374 265"
66,"392 249 244 229 83 450 239 497 252 189 294 277 4 7 177 71 202 201 351 367 440"
67,"314 179 324 426 88 131 400 388 107 113 218 241 37 173 424 86 200 261 436 168 459"
68,"318 58 321 226 479 344 205 254 128 418 401 285 122 436 369 77 158 40 447 298 142"
69,"126 26 102 151 383 97 94 29 492 217 270 85 471 166 320 269 393 156 381 62 2"
70,"444 240 161 293 37 388 111 181 448 241 134 290 193 398 338 286 271 65 99 358 395"
71,"352 497 320 306 252 376 411 268 239 294 249 8 453 187 229 351 472 450 283 103 259"
72,"459 113 429 443 430 405 313 104 245 200 232 378 67 386 484 448 99 211 280 363 64"
73,"233 414 22 239 273 426 472 100 159 390 346 314 37 409 311 493 380 202 179 33 377"
74,"204 273 356 402 379 400 236 81 115 35 393 36 159 201 156 92 45 471 449 486 265"
75,"87 371 65 428 328 489 169 398 18 125 168 384 92 448 160 481 131 136 138 155 410"
76,"192 276 183 136 112 310 342 155 83 265 100 381 255 363 270 239 22 466 364 197 468"
77,"413 466 436 96 158 35 205 340 87 376 479 400 128 462 121 442 401 363 146 74 418"
78,"425 17 136 481 190 135 390 408 230 221 261 288 203 276 189 367 493 41 155 22 45"
79,"299 164 266 161 160 130 75 247 454 120 304 5 186 78 328 308 135 345 167 367 425"
80,"173 93 396 302 175 190 43 265 483 107 348 426 221 86 140 20 131 408 427 241 44"
81,"16 356 159 156 35 155 401 364 393 168 436 471 25 138 285 173 125 59 205 251 3"
82,"343 101 268 455 6 163 283 225 259 13 297 21 145 210 134 222 337 143 423 92 41"
83,"239 252 450 4 76 66 249 468 22 177 202 497 73 201 342 212 244 189 447 273 119"
84,"399 185 23 431 463 192 421 195 424 9 333 220 406 371 32 123 180 98 387 194 10"
85,"35 446 393 356 252 81 159 370 156 16 265 155 93 364 472 363 3 18 471 201 476"
86,"238 138 375 190 387 273 173 170 218 426 302 88 80 427 131 257 481 236 175 67 314"
87,"75 169 168 489 125 428 371 356 18 466 234 35 155 16 436 39 251 92 400 96 131"
88,"131 387 324 36 135 488 402 354 92 103 427 170 481 400 424 123 236 314 288 15 493"
89,"368 276 272 192 493 124 364 136 365 265 290 10 311 310 135 179 449 27 363 22 194"
90,"461 5 491 186 167 308 154 454 338 120 164 286 130 19 198 227 196 266 247 111 57"
91,"3 393 20 480 156 48 382 409 495 132 142 140 377 159 364 366 356 326 207 35 416"
92,"387 236 402 138 204 99 36 195 354 280 239 356 155 426 159 421 427 481 145 65 88"
93,"356 42 265 159 236 320 427 493 445 437 208 156 311 472 426 327 483 273 157 289 35"
94,"2 383 217 492 166 129 260 349 331 69 269 65 38 270 126 144 26 29 358 243 240"
95,"193 7 417 37 426 327 93 311 239 107 173 367 217 213 356 100 390 371 159 468 42"
96,"340 466 265 155 356 472 18 35 447 339 442 489 381 400 415 87 234 412 184 77 136"
97,"151 26 270 69 495 62 269 381 340 440 91 126 85 419 142 393 147 3 112 476 377"
98,"23 463 374 349 65 385 112 269 192 270 371 243 399 489 136 435 160 290 466 26 76"
99,"92 280 448 402 236 426 427 388 281 324 73 134 111 387 346 241 239 189 145 135 447"
100,"112 159 380 21 156 192 387 368 364 155 493 136 290 276 212 239 426 468 195 356 273"
101,"157 402 481 234 423 295 82 493 136 23 143 367 390 236 466 457 373 45 159 425 92"
102,"471 156 393 69 173 81 138 36 155 356 364 112 56 320 354 100 50 238 387 302 93"
103,"230 493 41 241 261 21 390 100 283 450 268 408 88 239 123 400 360 364 252 388 262"
104,"127 448 167 363 64 430 365 398 72 200 280 313 316 429 113 32 99 308 160 368 89"
105,"282 191 334 215 109 422 30 433 490 464 12 470 14 133 355 477 188 337 442 48 361"
106,"381 438 63 174 36 183 8 197 215 184 156 196 151 333 286 415 423 255 128 359 466"
107,"408 140 390 400 314 281 93 427 493 268 424 115 27 426 283 241 305 80 296 45 367"
108,"478 235 52 473 445 437 237 319 24 231 350 214 121 404 301 462 51 250 300 140 434"
109,"422 279 30 105 12 470 438 282 464 494 292 337 228 334 433 359 215 280 253 458 355"
110,"494 464 11 433 289 30 263 55 334 470 458 490 253 355 292 105 370 138 12 368 273"
111,"196 427 134 143 236 161 116 296 43 99 281 331 172 70 6 184 280 472 292 338 375"
112,"100 155 192 136 364 468 276 380 290 374 159 59 21 385 197 373 356 265 156 76 81"
113,"200 10 459 424 72 429 313 430 67 28 386 363 378 365 60 104 400 179 168 441 443"
114,"296 251 191 281 27 481 493 355 272 282 48 172 10 371 387 427 424 131 368 311 33"
115,"445 437 93 314 159 74 356 48 273 42 107 380 162 45 16 472 33 353 426 427 481"
116,"196 458 427 236 111 494 402 172 465 273 263 438 265 470 289 150 135 279 43 109 334"
117,"326 377 409 207 416 147 142 382 152 317 132 495 366 165 91 212 182 48 120 73 199"
118,"46 477 498 191 23 246 406 180 256 282 9 105 182 199 152 59 242 431 215 432 385"
119,"379 158 401 364 155 447 177 468 22 470 76 218 83 184 337 136 223 239 122 442 92"
120,"338 461 130 491 160 33 266 198 53 5 57 90 167 345 161 286 172 255 308 197 276"
121,"462 412 214 237 350 52 336 478 24 235 215 250 376 231 146 319 442 108 216 473 35"
122,"112 59 373 205 354 285 128 374 401 155 466 432 119 479 76 168 254 468 81 436 21"
123,"354 174 278 88 275 103 457 333 131 100 402 15 423 21 195 57 481 262 387 36 197"
124,"364 179 365 276 89 192 218 363 468 100 400 342 22 262 290 112 368 401 155 246 298"
125,"173 371 131 25 81 275 138 387 356 65 213 251 155 87 474 168 16 410 92 436 36"
126,"26 69 492 471 373 466 381 216 270 97 383 320 102 354 269 2 94 356 59 151 370"
127,"104 160 167 53 338 461 316 324 308 130 255 198 88 488 267 120 266 286 448 32 168"
128,"205 58 254 381 479 184 321 401 106 285 364 415 436 122 258 226 466 168 357 475 363"
129,"94 260 38 383 492 2 69 331 349 270 217 26 126 269 144 166 151 29 419 65 277"
130,"308 266 338 120 5 491 186 461 167 154 286 160 53 454 90 194 127 255 198 135 19"
131,"88 324 173 387 400 125 36 261 426 251 43 241 371 15 424 236 423 168 402 262 314"
132,"409 91 326 414 208 165 317 242 199 377 182 397 209 416 493 480 366 207 152 3 495"
133,"415 34 346 476 48 159 216 377 438 215 334 33 412 168 191 16 14 360 233 282 442"
134,"6 111 143 99 472 161 426 70 236 73 427 331 82 196 241 358 212 279 193 37 388"
135,"281 255 402 78 88 45 408 157 427 288 296 493 276 189 265 415 481 236 160 400 442"
136,"155 265 192 385 276 112 290 184 100 358 251 481 138 22 356 78 493 17 387 311 159"
137,"176 143 63 473 49 431 370 237 350 208 216 8 471 172 445 437 289 39 301 36 187"
138,"387 251 92 155 358 136 356 173 81 426 379 17 16 125 265 86 372 471 184 375 204"
139,"315 287 271 388 1 341 395 223 181 329 241 330 219 238 293 153 149 347 335 303 389"
140,"107 20 400 214 474 314 396 91 45 445 437 80 404 262 115 93 173 356 35 231 376"
141,"180 406 399 185 9 46 463 220 498 432 118 84 256 477 323 421 23 431 177 328 403"
142,"377 207 91 382 495 3 147 117 97 133 20 112 151 326 298 393 48 364 374 124 409"
143,"187 111 236 157 289 208 370 253 93 137 472 372 358 145 134 101 356 427 92 402 184"
144,"492 94 331 2 358 260 166 383 75 17 349 33 65 126 410 384 428 216 253 129 26"
145,"427 204 92 493 236 402 280 292 281 187 157 143 27 228 372 99 387 36 449 301 74"
146,"235 376 350 227 462 402 281 131 39 236 36 296 439 237 423 157 135 265 176 160 427"
147,"117 416 91 142 207 97 3 152 377 409 397 317 62 132 20 495 419 29 480 366 326"
148,"394 482 224 309 284 384 312 496 428 425 75 17 234 87 295 304 328 367 79 481 490"
149,"335 287 315 271 1 303 391 139 395 47 329 341 219 330 301 153 293 389 483 184 289"
150,"197 265 183 310 472 276 480 340 8 438 457 14 172 215 162 273 192 76 236 333 136"
151,"381 270 26 29 97 69 106 100 156 393 212 243 358 112 62 472 166 423 174 438 290"
152,"382 326 20 182 409 91 48 117 207 147 132 3 495 366 353 118 199 377 397 317 360"
153,"293 395 184 219 231 181 271 241 303 261 483 335 251 221 388 47 290 315 136 131 444"
154,"19 308 5 186 454 130 266 90 164 167 461 247 491 299 338 53 120 79 198 64 227"
